개방자치단체코드,관리번호,안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치연도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3040000,202530400000900001,생활방범-001,방범용,가로변,서울특별시 광진구 광장로3길 22 (광장동),서울특별시 광진구 광장로3길 22 (광장동),,37.5485,127.103000,양방향,N,N,Y,,2009,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900002,생활방범-003,방범용,가로변,서울특별시 광진구 아차산로 540 (광장동),서울특별시 광진구 아차산로 540 (광장동),,37.54244,127.101470,양방향,N,N,Y,,2007,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900003,생활방범-004,방범용,가로변,서울특별시 광진구 아차산로78길 53 (광장동),서울특별시 광진구 아차산로78길 53 (광장동),,37.55144,127.109830,양방향,N,N,Y,,2009,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900004,생활방범-005,방범용,가로변,서울특별시 광진구 아차산로 636 (광장동),서울특별시 광진구 아차산로 636 (광장동),,37.54891,127.108990,양방향,N,N,Y,,2011,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900005,생활방범-006,방범용,가로변,서울특별시 광진구 천호대로 809 (광장동),서울특별시 광진구 천호대로 809 (광장동),,37.54587,127.103590,양방향,N,N,Y,,2006,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900006,생활방범-007,방범용,가로변,서울특별시 광진구 천호대로 143길 23,서울특별시 광진구 천호대로 143길 23,,37.54656,127.103450,양방향,N,N,Y,,2010,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900007,생활방범-009,방범용,가로변,서울특별시 광진구 아차산로78길 176 (광장동),서울특별시 광진구 아차산로78길 176 (광장동),,37.54802,127.108060,양방향,N,N,Y,,2008,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900008,생활방범-010,방범용,가로변,서울특별시 광진구 광장로1다길 60 (광장동),서울특별시 광진구 광장로1다길 60 (광장동),,37.55079,127.101330,양방향,N,N,Y,,2013,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900009,생활방범-011,방범용,가로변,서울특별시 광진구 광장로1나길 16 (광장동),서울특별시 광진구 광장로1나길 16 (광장동),,37.54876,127.101830,양방향,N,N,Y,,2014,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900010,생활방범-012,방범용,가로변,서울특별시 광진구 광장로 1 (광장동),서울특별시 광진구 광장로 1 (광장동),,37.54543,127.097790,양방향,N,N,Y,,2015,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900011,생활방범-013,방범용,가로변,서울특별시 광진구 아차산로70길 62,서울특별시 광진구 아차산로70길 62,,37.54127,127.098910,양방향,N,N,Y,,2010,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900012,생활방범-014,방범용,가로변,서울특별시 광진구 구의로 13-6 (구의동),서울특별시 광진구 구의로 13-6 (구의동),,37.53938,127.088950,양방향,N,N,Y,,2006,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900013,생활방범-015,방범용,가로변,서울특별시 광진구 아차산로57길 14 (구의동),서울특별시 광진구 아차산로57길 14 (구의동),,37.53914,127.088310,양방향,N,N,Y,,2019,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900014,생활방범-016,방범용,가로변,서울특별시 광진구 자양로26길 91-14 (구의동),서울특별시 광진구 자양로26길 91-14 (구의동),,37.54099,127.089000,양방향,N,N,Y,,2006,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900015,생활방범-017,방범용,가로변,서울특별시 광진구 광나루로40길 17 (구의동),서울특별시 광진구 광나루로40길 17 (구의동),,37.54403,127.089440,양방향,N,N,Y,,2017,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
3040000,202530400000900016,생활방범-018,방범용,가로변,서울특별시 광진구 자양로30길 79 (구의동),서울특별시 광진구 자양로30길 79 (구의동),,37.54298,127.089420,양방향,N,N,Y,,2010,2025-09-01,Y,서울특별시 광진구청,02-450-7678,2025-10-29,I,2026-05-15 18:45:47,2025-10-29 16:37:05
