개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3040000,202530400000800001,서울특별시 광진구청,서울특별시 광진구 광장로3길 22 (광장동),,생활방범,1,,,,,02-450-7678,37.5485,127.103,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800002,서울특별시 광진구청,서울특별시 광진구 아차산로 540 (광장동),,생활방범,1,,,,,02-450-7678,37.54244,127.10147,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800003,서울특별시 광진구청,서울특별시 광진구 아차산로78길 53 (광장동),,생활방범,1,,,,,02-450-7678,37.55144,127.10983,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800004,서울특별시 광진구청,서울특별시 광진구 아차산로 636 (광장동),,생활방범,1,,,,,02-450-7678,37.54891,127.10899,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800005,서울특별시 광진구청,서울특별시 광진구 천호대로 809 (광장동),,생활방범,1,,,,,02-450-7678,37.54587,127.10359,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800006,서울특별시 광진구청,서울특별시 광진구 천호대로 143길 23,,생활방범,1,,,,,02-450-7678,37.54656,127.10345,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800007,서울특별시 광진구청,서울특별시 광진구 아차산로78길 176 (광장동),,생활방범,1,,,,,02-450-7678,37.54802,127.10806,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800008,서울특별시 광진구청,서울특별시 광진구 광장로1다길 60 (광장동),,생활방범,1,,,,,02-450-7678,37.55079,127.10133,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800009,서울특별시 광진구청,서울특별시 광진구 광장로1나길 16 (광장동),,생활방범,1,,,,,02-450-7678,37.54876,127.10183,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800010,서울특별시 광진구청,서울특별시 광진구 광장로 1 (광장동),,생활방범,1,,,,,02-450-7678,37.54543,127.09779,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800011,서울특별시 광진구청,서울특별시 광진구 아차산로70길 62,,생활방범,1,,,,,02-450-7678,37.54127,127.09891,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800012,서울특별시 광진구청,서울특별시 광진구 구의로 13-6 (구의동),,생활방범,1,,,,,02-450-7678,37.53938,127.08895,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800013,서울특별시 광진구청,서울특별시 광진구 아차산로57길 14 (구의동),,생활방범,1,,,,,02-450-7678,37.53914,127.08831,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800014,서울특별시 광진구청,서울특별시 광진구 자양로26길 91-14 (구의동),,생활방범,1,,,,,02-450-7678,37.54099,127.089,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800015,서울특별시 광진구청,서울특별시 광진구 광나루로40길 17 (구의동),,생활방범,1,,,,,02-450-7678,37.54403,127.08944,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800016,서울특별시 광진구청,서울특별시 광진구 자양로30길 79 (구의동),,생활방범,1,,,,,02-450-7678,37.54298,127.08942,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800017,서울특별시 광진구청,서울특별시 광진구 구의로 65 (구의동),,생활방범,1,,,,,02-450-7678,37.54398,127.09043,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800018,서울특별시 광진구청,서울특별시 광진구 자양로30길 87-10 (구의동),,생활방범,1,,,,,02-450-7678,37.54348,127.08962,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800019,서울특별시 광진구청,서울특별시 광진구 광나루로38길 27 (구의동),,생활방범,1,,,,,02-450-7678,37.54371,127.08807,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800020,서울특별시 광진구청,서울특별시 광진구 구의로11길 28 (구의동),,생활방범,1,,,,,02-450-7678,37.54369,127.08876,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800021,서울특별시 광진구청,서울특별시 광진구 자양로30길 43 (구의동),,생활방범,1,,,,,02-450-7678,37.5434,127.08723,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800022,서울특별시 광진구청,서울특별시 광진구 자양로32길 31 (구의동),,생활방범,1,,,,,02-450-7678,37.54432,127.0866,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800023,서울특별시 광진구청,서울특별시 광진구 자양로30길 14,,생활방범,1,,,,,02-450-7678,37.54363,127.08565,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800024,서울특별시 광진구청,서울특별시 광진구 자양로28길 73 (구의동),,생활방범,1,,,,,02-450-7678,37.54173,127.08823,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800025,서울특별시 광진구청,서울특별시 광진구 자양로26길 95,,생활방범,1,,,,,02-450-7678,37.54019,127.08915,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800026,서울특별시 광진구청,서울특별시 광진구 구의로1길 12 (구의동),,생활방범,1,,,,,02-450-7678,37.53916,127.08758,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800027,서울특별시 광진구청,서울특별시 광진구 구의로1길 26 (구의동),,생활방범,1,,,,,02-450-7678,37.53907,127.0868,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800028,서울특별시 광진구청,서울특별시 광진구 아차산로53길 77 (구의동),,생활방범,1,,,,,02-450-7678,37.54073,127.08608,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800029,서울특별시 광진구청,서울특별시 광진구 자양로26길 45-7,,생활방범,1,,,,,02-450-7678,37.54162,127.08668,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800030,서울특별시 광진구청,서울특별시 광진구 광나루로36길 68 (구의동),,생활방범,1,,,,,02-450-7678,37.54217,127.08583,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800031,서울특별시 광진구청,서울특별시 광진구 자양로26길 14 (구의동),,생활방범,1,,,,,02-450-7678,37.54181,127.08488,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800032,서울특별시 광진구청,서울특별시 광진구 아차산로49길 70 (구의동),,생활방범,1,,,,,02-450-7678,37.54003,127.08419,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800033,서울특별시 광진구청,서울특별시 광진구 아차산로51길 23 (구의동),,생활방범,1,,,,,02-450-7678,37.53822,127.08502,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800034,서울특별시 광진구청,서울특별시 광진구 아차산로49길 32 (구의동),,생활방범,1,,,,,02-450-7678,37.53848,127.08438,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800035,서울특별시 광진구청,서울특별시 광진구 아차산로49길 50 (구의동),,생활방범,1,,,,,02-450-7678,37.53916,127.08429,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800036,서울특별시 광진구청,서울특별시 광진구 자양로23길 86 (구의동),,생활방범,1,,,,,02-450-7678,37.54425,127.084,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800037,서울특별시 광진구청,서울특별시 광진구 아차산로55길 23 (구의동),,생활방범,1,,,,,02-450-7678,37.53854,127.0865,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800038,서울특별시 광진구청,서울특별시 광진구 아차산로53길 53 (구의동),,생활방범,1,,,,,02-450-7678,37.53972,127.08565,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:25
3040000,202530400000800039,서울특별시 광진구청,서울특별시 광진구 아차산로53길 29 (구의동),,생활방범,1,,,,,02-450-7678,37.53854,127.0858,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:26
3040000,202530400000800040,서울특별시 광진구청,서울특별시 광진구 아차산로53길 38-12 (구의동),,생활방범,1,,,,,02-450-7678,37.53915,127.08609,2025-10-28,I,2026-05-15 18:45:38,2025-10-29 10:49:26
